review_id,order_id,review_score,delivery_days
R01164,O01164,5,1
R01165,O01165,3,2
R01166,O01166,4,9
R01167,O01167,3,10
R01168,O01168,3,6
R01169,O01169,2,8
R01170,O01170,2,8
R01171,O01171,3,13
R01172,O01172,4,8
R01173,O01173,4,15
R01174,O01174,3,4
R01175,O01175,5,4
R01176,O01176,4,7
R01177,O01177,5,2
R01178,O01178,5,12
R01179,O01179,1,7
R01180,O01180,5,7
R01181,O01181,5,10
R01182,O01182,5,2
R01183,O01183,4,7
R01184,O01184,4,17
R01185,O01185,4,11
R01186,O01186,5,10
R01187,O01187,4,9
R01188,O01188,3,8
R01189,O01189,1,16
R01190,O01190,2,16
R01191,O01191,3,7
R01192,O01192,4,16
R01193,O01193,5,2
R01194,O01194,3,6
R01195,O01195,4,6
R01196,O01196,3,12
R01197,O01197,4,11
R01198,O01198,5,9
R01199,O01199,4,5
R01200,O01200,5,9
R01201,O01201,5,5
R01202,O01202,5,9
R01203,O01203,5,6
R01204,O01204,4,16
R01205,O01205,4,13
R01206,O01206,4,3
R01207,O01207,5,16
R01208,O01208,3,12
R01209,O01209,3,6
R01210,O01210,1,10
R01211,O01211,5,4
R01212,O01212,5,1
R01213,O01213,1,8
R01214,O01214,4,14
R01215,O01215,4,6
R01216,O01216,5,7
R01217,O01217,1,17
R01218,O01218,1,17
R01219,O01219,5,8
R01220,O01220,4,1
R01221,O01221,5,12
R01222,O01222,4,13
R01223,O01223,5,16
R01224,O01224,4,17
R01225,O01225,4,11
R01226,O01226,5,2
R01227,O01227,2,5
R01228,O01228,5,13
R01229,O01229,1,11
R01230,O01230,4,8
R01231,O01231,3,7
R01232,O01232,4,13
R01233,O01233,5,8
R01234,O01234,1,3
R01235,O01235,3,17
R01236,O01236,4,6
R01237,O01237,3,5
R01238,O01238,4,2
R01239,O01239,5,8
R01240,O01240,2,17
R01241,O01241,4,3
R01242,O01242,4,5
R01243,O01243,3,4
R01244,O01244,3,2
R01245,O01245,5,11
R01246,O01246,5,6
R01247,O01247,5,13
R01248,O01248,4,7
R01249,O01249,5,11
R01250,O01250,5,2
R01251,O01251,5,6
R01252,O01252,5,8
R01253,O01253,3,2
R01254,O01254,5,8
R01255,O01255,5,8
R01256,O01256,5,7
R01257,O01257,5,9
R01258,O01258,5,14
R01259,O01259,4,14
R01260,O01260,5,1
R01261,O01261,5,11
R01262,O01262,5,16
R01263,O01263,5,15
R01264,O01264,3,6
R01265,O01265,4,14
R01266,O01266,4,14
R01267,O01267,5,7
R01268,O01268,5,15
R01269,O01269,5,11
R01270,O01270,5,13
R01271,O01271,4,13
R01272,O01272,2,14
R01273,O01273,5,17
R01274,O01274,5,15
R01275,O01275,5,8
R01276,O01276,5,10
R01277,O01277,5,12
R01278,O01278,4,15
R01279,O01279,5,7
R01280,O01280,4,6
R01281,O01281,4,13
R01282,O01282,3,17
R01283,O01283,3,16
R01284,O01284,3,3
R01285,O01285,5,16
R01286,O01286,3,14
R01287,O01287,4,3
R01288,O01288,4,1
R01289,O01289,4,4
R01290,O01290,5,16
R01291,O01291,4,13
R01292,O01292,2,10
R01293,O01293,5,11
R01294,O01294,5,8
R01295,O01295,5,16
R01296,O01296,5,3
R01297,O01297,2,6
R01298,O01298,5,4
R01299,O01299,3,15
R01300,O01300,4,10
